Brand,Strap_color,Size,Flipkart_assured,Sponsored,Page_num,Price,Original_price,Discount,Price_category,Ratings,Reviews,Promotion_tag
Punnkfunnk,Black,Regular Size,False,True,17,834,2999,72% off,Budget,3.7,1102,Bank Offer
Fire,Milange Grey,Free Size,True,True,17,1299,9999,87% off,Budget,4.1,335485,Upto ₹300 Off on Exchange
Fire,Black S,Free Size,True,False,17,1349,9999,86% off,Budget,3.8,4691,Upto ₹300 Off on Exchange
Nervfit,Midnight Black,Free size,False,False,17,1525,7999,80% off,Budget,4.0,882,Upto ₹300 Off on Exchange
Boat,Blue,Free Size,True,True,18,1099,6999,84% off,Budget,4.1,134922,Super Deals
Noise,Midnight Blue,Regular,True,True,18,999,5999,83% off,Budget,4.1,883543,Super Deals
Amazfit,Black Sport Silicone,Free Size,False,False,18,9999,21999,54% off,Premium,4.2,10,Upto ₹300 Off on Exchange
Hardercase,Black,Free Size,True,False,18,180,699,74% off,Budget,4.0,851,Bank Offer
Verilux,Leaf Green,Free Size,True,False,18,753,1649,54% off,Budget,4.1,402661,Bank Offer
Boat,Silver Myst,Free Size,True,False,18,1999,8999,77% off,Budget,4.0,24512,Super Deals
Goboult,Metal Black,Free Size,True,True,18,1199,8999,86% off,Budget,4.2,2335,Upto ₹300 Off on Exchange
Fire,Charcoal Grey,Free Size,False,True,18,999,14999,93% off,Budget,4.1,482547,Super Deals
Boat,Metallic Silver,Free Size,True,False,18,1999,8999,77% off,Budget,4.1,1340,Upto ₹300 Off on Exchange
Fastrack,Green,Free Size,True,False,18,1699,3999,57% off,Budget,4.2,19576,Upto ₹300 Off on Exchange
Gamesir,Black,Free Size,False,True,18,894,3999,77% off,Budget,3.7,718,Bank Offer
Boat,Bold Black,Free Size,True,True,18,1199,7990,84% off,Budget,4.1,424423,Upto ₹300 Off on Exchange
Titan,Brown,Free Size,True,False,18,5999,12995,53% off,Premium,4.2,1187,Upto ₹300 Off on Exchange
Boat,Blue,Free Size,True,False,18,1099,8499,87% off,Budget,4.1,424423,Super Deals
Cmf,Silver,Free Size,True,False,18,4499,5999,25% off,Mid-Range,4.3,25355,Upto ₹300 Off on Exchange
Cellecor,GARNISH/BLACK-GREEN,Free Size,False,False,18,899,3999,77% off,Budget,4.1,1292,Bank Offer
Goboult,Black,Free Size,True,True,18,2499,7999,68% off,Mid-Range,4.1,402661,Upto ₹300 Off on Exchange
